Municipality,Annual Electric Usage (MWh),Annual Electric Savings (MWh),Annual Electric Incentives ($),Annual Gas Usage (Therms),Annual Gas Savings (Therms),Annual Gas Incentives ($)
Duxbury,62192.011,-85.852,803467.069,3773586.909,49405.89,665575.052
East Bridgewater,42380.884,457.079,2617841.839,1723607.629,Suppressed,Suppressed
East Brookfield,7358.782,32.512,200917.424,117636.668,Suppressed,Suppressed
East Longmeadow,47229.131,255.711,525944.925,3752561.31,44898.2,631449.585
Eastham,32793.854,-22.037,2010084.86,1530929.011,29766.45,448200.849
Easthampton,51755.468,-13.487,1448678.068,1977356.601,36445.01,625165.564
Easton,80265.64,81.543,1151448.382,3589365.303,37340.78,543141.685
Edgartown,55204.396,-19.899,1093595.96,No Gas,No Gas,No Gas
Egremont,8496.347,Suppressed,Suppressed,No Gas,No Gas,No Gas
Erving,5190.442,Suppressed,Suppressed,No Gas,No Gas,No Gas
Essex,12619.987,76.494,319646.378,533487.156,Suppressed,Suppressed
Everett,85102.932,474.327,986308.307,9251928.41,86770.432,1197876.091
Fairhaven,43888.568,115.915,777723.829,3804518.407,54686.232,1015107.012
Fall River,185125.05,833.455,2016535.884,21380123.87,172788.044,3789767.18
Falmouth,147382.163,510.988,5400543.17,10515701.18,228919.898,3033959.445
Fitchburg,95714.503,864.741,1403335.33,6883432.044,50517.142,1093291.237
Florida,2061.165,Suppressed,Suppressed,No Gas,No Gas,No Gas
Foxborough,54799.747,57.669,593546.262,3650940.479,30509.72,457781.192
Framingham,185722.397,-147.971,3792616.908,10686516.75,170790.086,2391555.422
Franklin,96978.615,-63.801,1214280.3,6213129.294,90811.43,1215164.204
Freetown,30897.782,-102.883,846681.229,181761.612,Suppressed,Suppressed
Gardner,52573.121,129.736,1318735.856,879375.944,13670.528,380910.972
Georgetown,Municipal,Municipal,Municipal,1702733.801,34968.171,304276.139
Gill,4807.51,-75.812,366046.68,No Gas,No Gas,No Gas
Gloucester,95338.21,332.565,3679935.816,4387799.997,59973.55,1365754.919
Goshen,3167.611,Suppressed,Suppressed,No Gas,No Gas,No Gas
Gosnold,Municipal,Municipal,Municipal,No Gas,No Gas,No Gas
Grafton,60902.177,-208.864,1220727.381,2932762.453,59269.028,695317.224
Granby,18828.643,-65.962,754769.726,169106.584,Suppressed,Suppressed
Granville,6400.416,Suppressed,Suppressed,No Gas,No Gas,No Gas
Great Barrington,24211.889,2.629,790377.157,728136.901,Suppressed,Suppressed
Greenfield,53465.334,-36.182,2251735.99,2120622.189,19429.16,302715.33
Groton,Municipal,Municipal,Municipal,953913.773,Suppressed,Suppressed
Groveland,Municipal,Municipal,Municipal,1394554.551,28951.095,314013.04
Hadley,19931.64,-105.249,698356.41,325589.813,Suppressed,Suppressed
Halifax,25206.305,11.039,550775.082,510200.801,Suppressed,Suppressed
Hamilton,25271.96,-141.004,818027.956,907776.56,Suppressed,Suppressed
Hampden,17054.639,74.694,316499.397,628657.077,Suppressed,Suppressed
Hancock,4850.357,Suppressed,Suppressed,No Gas,No Gas,No Gas
Hanover,47654.615,1.005,544539.994,2917682.492,38401.78,430674.745
Hanson,32279.166,14.367,450879.158,1694724.183,19002.66,317297.134
Hardwick,8747.255,Suppressed,Suppressed,No Gas,No Gas,No Gas
Harvard,21662.099,-175.09,839346.162,283794.715,Suppressed,Suppressed
Harwich,63295.175,202.836,2433158.23,4987577.712,105204.591,1577701.287
Hatfield,11732.433,13.774,328591.98,504934.28,Suppressed,Suppressed
Haverhill,163464.947,496.392,1528933.894,15057279.08,318901.555,6217585.821
Hawley,Suppressed,Suppressed,Suppressed,No Gas,No Gas,No Gas
Heath,2285.031,Suppressed,Suppressed,No Gas,No Gas,No Gas
Hingham,Municipal,Municipal,Municipal,4527411.341,50053.692,669373.732
Hinsdale,8326.918,30.572,318203.04,No Gas,No Gas,No Gas
Holbrook,30257.739,869.97,2075641.374,1455356.259,17351.92,312850.352
Holden,Municipal,Municipal,Municipal,1156471.124,Suppressed,Suppressed
Holland,10748.748,2.396,259728.585,No Gas,No Gas,No Gas
Holliston,49200.904,1.997,744031.728,2985724.653,65412.219,892452.777
Holyoke,Municipal,Municipal,Municipal,Municipal,Municipal,Municipal
Hopedale,18681.041,-114.742,549977.488,357584.563,Suppressed,Suppressed
Hopkinton,66134.513,-122.947,1454880.499,3502487.944,76293.597,871168.49
Hubbardston,13289.761,-24.914,288680.03,No Gas,No Gas,No Gas
Hudson,Municipal,Municipal,Municipal,4237251.277,58033.08,758804.502
Hull,Municipal,Municipal,Municipal,2940001.38,29359.902,430798.38
Huntington,7823.185,Suppressed,Suppressed,No Gas,No Gas,No Gas
Ipswich,Municipal,Municipal,Municipal,1931190.232,25435.643,334767.27
Kingston,46771.81,111.853,1027160.717,1455512.62,Suppressed,Suppressed
Lakeville,Municipal,Municipal,Municipal,302516.682,Suppressed,Suppressed
Lancaster,22345.522,-25.469,684867.182,218524.637,Suppressed,Suppressed
Lanesborough,12011.572,54.331,385094.541,186972.725,Suppressed,Suppressed
Lawrence,154223.103,880.049,2581280.49,16498122.76,168192.23,4097933.775
Lee,25348.247,122.339,478021.379,1353192.571,6932.672,118609.06
Leicester,35495.599,-19.101,1236296.306,119901.86,Suppressed,Suppressed
Lenox,20059.991,23.753,384397.311,1643333.076,Suppressed,Suppressed
Leominster,115689.696,309.747,2307350.39,4379138.944,105603.08,1537624.314
Leverett,6973.109,-24.804,229327.01,No Gas,No Gas,No Gas
